name,s,mux,muy,x,y,betx,bety,dx_zeta,dy_zeta
BPCE.11906,2390.4346999999925,9.04266738269461,9.038376665507938,0.00011672222569920107,1.5306412847282268e-22,22.067676140525617,99.48966116679159,-3.1058623558260643e-06,4.9873983105764884e-26
BPH.12008,2423.091899999992,9.178633863386874,9.149323296410834,0.00021207713951852005,6.884359441507187e-23,102.83644012929028,21.188286247750213,8.564219202925966e-05,3.42190850374586e-26
BPV.12108,2455.089599999991,9.288470712251659,9.281628888652397,3.096253005158485e-05,5.672435699788963e-23,21.1308801042643,102.04004849012968,5.402776585069402e-05,6.424411459065958e-26
BPSH.12174,2476.410099999991,9.399448290145935,9.331994175075708,-8.277780231116401e-05,3.980649396153991e-24,59.83245262212966,39.80855282080715,7.451748373481874e-05,2.9768333474423593e-26
BPSV.12179,2479.929099999991,9.407979084886726,9.347688399772359,-0.00010132961882370248,-5.432713365507923e-24,72.1066607635308,32.094522509484314,7.859230190342992e-05,2.323676885766312e-26
BPH.12208,2487.087299999991,9.421293770598085,9.392030984904352,-0.0001390669342428704,-2.4580975178672995e-23,101.77017808174274,21.107737789937797,8.688112356088654e-05,9.950537883744476e-27
BPCN.12308,2519.0824999999904,9.531388345848724,9.524336767515967,-0.00011252952279183675,-1.5026296792087366e-22,21.26513031042894,102.41421124759123,6.886050991717219e-06,-4.0064180459075076e-26
BPH.12408,2551.0826999999895,9.662729490372397,9.634193234914392,-0.0002265939039931804,-7.118983307891804e-23,102.89975503875664,21.19857920800683,-7.691109750711218e-05,-3.0733253962029244e-26
BPCN.12508,2583.0778999999884,9.77238752410224,9.766479415547245,-4.262485235870936e-05,-7.097035803829219e-23,21.17207566979609,101.99763973929944,-5.335357062677047e-05,-5.446338515374916e-26
BPH.12608,2615.0780999999874,9.905115191399819,9.876935905948406,0.00011549985435968753,1.784331283357987e-23,101.71593241700249,21.09279743720104,-9.465495754350252e-05,-1.40649009717042e-26
BPV.12708,2647.0757999999864,10.015421861779433,10.009321409219792,0.00010783399957577521,1.4358166688459744e-22,21.212259408358875,102.40715893278337,-1.223894431493526e-05,1.221062999841429e-26
BPH.12808,2679.0734999999854,10.146896968256907,10.119229751032242,0.00023745748676616272,7.283750487546592e-23,102.96127478695091,21.18464225848714,6.74502823039816e-05,2.3305956608537686e-26
